Serial data,35039822,512,0,,,,,,,,,,
Serial filter,39787654,512,0,,,,,,,,,,
Parallel filter,36981121,512,1,,,,,,,,,,
Parallel data,36822567,512,1,,,,,,,,,,
Serial data,35017938,512,0,,,,,,,,,,
Serial filter,39756897,512,0,,,,,,,,,,
Parallel filter,18496525,512,2,,,,,,,,,,
Parallel data,18413979,512,2,,,,,,,,,,
Serial data,35019269,512,0,,,,,,,,,,
Serial filter,39756792,512,0,,,,,,,,,,
Parallel filter,9237747,512,4,,,,,,,,,,
Parallel data,9207521,512,4,,,,,,,,,,
Serial data,35018763,512,0,,,,,,,,,,
Serial filter,39758254,512,0,,,,,,,,,,
Parallel filter,8857274,512,8,,,,,,,,,,
Parallel data,8547430,512,8,,,,,,,,,,
Serial data,35017346,512,0,,,,,,,,,,
Serial filter,39766325,512,0,,,,,,,,,,
Parallel filter,8843835,512,16,,,,,,,,,,
Parallel data,8718453,512,16,,,,,,,,,,
Serial data,35044787,512,0,,,,,,,,,,
Serial filter,39790729,512,0,,,,,,,,,,
Parallel filter,36952533,512,1,,,,,,,,,,
Parallel data,36727475,512,1,,,,,,,,,,
Serial data,35021219,512,0,,,,,,,,,,
Serial filter,39770616,512,0,,,,,,,,,,
Parallel filter,18486209,512,2,,,,,,,,,,
Parallel data,18406276,512,2,,,,,,,,,,
Serial data,35023057,512,0,,,,,,,,,,
Serial filter,39769143,512,0,,,,,,,,,,
Parallel filter,9242489,512,4,,,,,,,,,,
Parallel data,9205858,512,4,,,,,,,,,,
Serial data,35022663,512,0,,,,,,,,,,
Serial filter,39772092,512,0,,,,,,,,,,
Parallel filter,8829178,512,8,,,,,,,,,,
Parallel data,8547673,512,8,,,,,,,,,,
Serial data,35025387,512,0,,,,,,,,,,
Serial filter,39758516,512,0,,,,,,,,,,
Parallel filter,8823544,512,16,,,,,,,,,,
Parallel data,8523284,512,16,,,,,,,,,,
Serial data,35035953,512,0,,,,,,,,,,
Serial filter,39782274,512,0,,,,,,,,,,
Parallel filter,36944992,512,1,,,,,,,,,,
Parallel data,36857502,512,1,,,,,,,,,,
Serial data,35013181,512,0,,,,,,,,,,
Serial filter,39759361,512,0,,,,,,,,,,
Parallel filter,18493447,512,2,,,,,,,,,threads,p value
Parallel data,18433023,512,2,,,,,,,,,1,0
Serial data,35011834,512,0,,,,,,,,,2,1.000001
Serial filter,39761552,512,0,,,,,,,,,4,0.999815
Parallel filter,9225462,512,4,,,,,,,,,8,0.877228
Parallel data,9214677,512,4,,,,,,,,,16,0.815466
Serial data,35013785,512,0,,,,,,,,,,
Serial filter,39760343,512,0,,,,,,,,,,
Parallel filter,8805166,512,8,,,,,,,,,,
Parallel data,8547389,512,8,,,,,,,,,,
Serial data,35012777,512,0,,,,,,,,,,
Serial filter,39763709,512,0,,,,,,,,,,
Parallel filter,8884293,512,16,,,,,,,,,,
Parallel data,8523472,512,16,,,,,,,,,,
